1789 les amants de la bastille | Au palais royal
Louis Chedid | T'as beau pas être beau
Louise Attaque | J't'emmène au vent
Louise Attaque | Ton invitation
Louisy Joseph | Mes insomnies
Luc De Larochellière | Amère América
Lucie Silvas | What you're made of
Lucienne Boyer | Mon coeur est un violon
Lucienne Delyle | Jambalaya
Lucienne Delyle | La valse brune
Lucienne Delyle | Mon amant de Saint-Jean
Lucienne Delyle | On n'a pas tous les jours vingt ans
Lucky Blondo | C'est beaucoup mieux ainsi
Lucky Blondo | Des roses rouges pour un ange blond
Lucky Blondo | Dix petits indiens
Lucky Blondo | Filles
Lucky Blondo | Georgia
Lucky Blondo | Il peut partir
Lucky Blondo | J'ai un secret à te dire
Lucky Blondo | Je donne des coups
Lucky Blondo | Jolie petite Sheila
Lucky Blondo | Les pompes bleues
Lucky Blondo | Ma chérie laisse-moi
Lucky Blondo | On peut le faire ce soir
Lucky Blondo | Pas très beau mais sexy
Lucky Blondo | Stagger lee
Lucky Blondo | Sur ton visage une larme
Lucky Blondo | Tout va bien m'man
Lucky Blondo | Un ancien Teenager
Lucky Blondo | Un vieux chien de chasse
Lucky Blondo | Une nuit au King Creole
Lucky Blondo | Va savoir pourquoi
Luis Mariano | Acapulco
Luis Mariano | C'est magnifique
Luis Mariano | Granada
Luis Mariano | Il est un coin de France
Luis Mariano | La belle de Cadix
Luis Mariano | La chanson de Lara
Luis Mariano | La fiesta Bohémienne
Luis Mariano | La Samba Brésilienne
Luis Mariano | L'Amour est un bouquet de violettes
Luis Mariano | Maman, la plus belle du monde
Luis Mariano | Maria-Luisa
Luis Mariano | Mexico
Luis Mariano | Olé Toréro
Luis Mariano | Quand on est deux amis
Luis Mariano | Rossignol
Luis Mariano | Valencia
Luke | La sentinelle
Luz Casal | Je reviens te chercher
Lynda Lemay | Alphonse
Lynda Lemay | Au nom des frustrés
Lynda Lemay | Blessée
Lynda Lemay | Ceux que l'on met au monde
Lynda Lemay | Chaque fois que le train passe
Lynda Lemay | Chéri tu ronfles
Lynda Lemay | Donnez-lui la passion
Lynda Lemay | J'ai battu ma fille
Lynda Lemay | J'aime la pêche
Lynda Lemay | Jamais fidèle
Lynda Lemay | Je suis grande
Lynda Lemay | J'veux bien t'Aimer
Lynda Lemay | La centenaire
Lynda Lemay | La marmaille
Lynda Lemay | La visite
Lynda Lemay | Le mime
Lynda Lemay | Le plus fort c'est mon père
Lynda Lemay | L'enfant aux cheveux gris
Lynda Lemay | Les deux hommes
Lynda Lemay | Les maudits Français
Lynda Lemay | Les souliers verts
Lynda Lemay | Ma chouette
Lynda Lemay | Maudite prière
Lynda Lemay | Ne t'en vas pas
Lynda Lemay | Une mère
M | Le festival des connes
M | Qui de Nous Deux
M Pokora | En attendant la fin 
M. Pokora | A nos actes manqués
M. Pokora | Le monde
Madeleine Peyroux | J'ai deux Amours
Magic System | La danse des magiciens
Magic System | Magic in the air 
Magic System | Sweet Fanta Diallo 
Magic System | Toi et le soleil 
Magic System | Tu es fou
Maitre Gims | Zombie
Maître Gims | Bella
Maître Gims | Changer
Maître Gims | Sapés comme jamais
Maître Gims | Tu vas me manquer
Maître Gims | J'me tire
Maître Gims | Le pire
Maître Gims | Laissez passer
Malavoi | La Guadloupéenne
Manau | La Tribu de Dana
Manau | Mais qui est la belette
Manhattan Transfer | Chanson d'Amour
Manuel Carrasco | Ya no
Marc Aryan | Bête à manger du foin
Marc Aryan | Je t'invite
Marc Aryan | Katy
Marc Aryan | La lettre
Marc Aryan | Surf avec moi
Marc Aryan | Tu te parfumes trop
Marc Dupré | Nous sommes les mêmes
Marc Dupré | Un coup sur mon coeur
Marc Hamilton | Comme j'ai toujours envie d'Aimer
Marc Lavoine | Bascule avec moi
Marc Lavoine | C'est ça la France
Marc Lavoine | C'est la vie
Marc Lavoine | Chère amie
Marc Lavoine | Dis-moi que l'amour ne s'arrête pas
Marc Lavoine | Elle a les yeux révolver
Marc Lavoine | Je me sens si seul
Marc Lavoine | Je n'ai plus rien à te donner
Marc Lavoine | Je ne veux qu'elle
Marc Lavoine | Le monde est tellement con
Marc Lavoine | Le parking des anges
Marc Lavoine | Même si
Marc Lavoine | Rue des acacias
Marc Lavoine | Rue Fontaine
Marc Lavoine | Toi mon amour
Marc Lavoine | Une nuit sur son épaule
Marc Lavoine | Je ne veux qu'elle
Marc Lavoine | J'ai tout oublié
Marc Lavoine | J'espère
Marc Pascal | Je ne suis qu'un chanteur d'orchestre
Marc-Antoine | Comme il se doit
Marcel Amont | Bleu Blanc Blond
Marcel Amont | Dans le coeur de ma blonde
Marcel Amont | La musique est de retour
Marcel Amont | L'Amour ça fait passer le temps
Marcel Amont | Le chapeau de Mireille
Marcel Amont | Le Mexicain
Marcel Amont | Pigalle
Marcel Mouloudji | Comme un p'tit coquelicot
Marcel Mouloudji | La complainte de la butte
Marcel Mouloudji | Un jour tu verras
Marie Laforêt | Cadeau
Marie Laforêt | Il a neigé sur yesterday
Marie Laforêt | Ivan, Boris et moi
Marie Laforêt | La bague au doigt
Marie Laforêt | La flute magique
Marie Laforêt | La plage
Marie Laforêt | La tendresse
Marie Laforêt | Les vendanges de l'Amour
Marie Laforêt | Viens sur la montagne
Marie Laforêt | Viens, viens
Marie Myriam | L'oiseau et l'enfant
Marie Myriam | Noël Blanc
Marie Myriam | Nostalgia
Marie Paule Belle | La Parisienne
Marie-Élaine Thibert | Le Noël des enfants du monde
Marie-Élaine Thibert | Quand on n'a que l'amour
Marie-Mai | C.O.B.R.A.
Marie-Mai | Il faut que tu t'en ailles
Marie-Mai | Jamais trop tard
Marie-Mai | Mentir
Marie-Mai | Mille jours
Marie-Mai | Sans cri ni haine
Marie-Pierre Arthur | Si tu savais
Marilou | Chante
Mario Barravecchia | On se ressemble
Marjo & Corbeau | Illégal
Marlon Roudette | Anti Héro 
Martial | Jean petit qui danse
Martin Circus | Marylène
Mathé Altéry | L'amour est dans ta rue
Mathieu Edward | Comme avant
Matthieu Mandès | Cendrillon
Matthieu Mandès | Okay
Maurane | Armstrong
Maurane | Bidonville
Maurane | Danser
Maurane | Différente quand je chante
Maurane | Du mal
Maurane | La chanson de l'autruche
Maurane | La chanson des vieux amants
Maurane | Le jazz et la java
Maurane | Les antipodes
Maurane | Mais la vie
Maurane | Mentir
Maurane | Rimes
Maurane | Sur un prélude de Bach
Maurane | Toulouse
Maurane | Tout pour un seul homme
Maurane | Toutes les mamas
Maurane | Tu verras
Maurice Chevalier | Dans la vie faut pas s'en faire
Maurice Chevalier | Fleur de Paris
Maurice Chevalier | La marche de Ménilmontant
Maurice Chevalier | Ma pomme
Maurice Chevalier | Prosper
Maurice Fanon | Jean Marie de Pantin
Maurice Fanon | L'écharpe
Maxime le Forestier | Ambalaba
Maxime Le Forestier | Amis
Maxime Le Forestier | Bille de verre
Maxime Le Forestier | Ça sert à quoi tout ça
Maxime Le Forestier | Chienne d'idée
Maxime le Forestier | Education sentimentale
Maxime Le Forestier | Entre 14 et 40 ans
Maxime le Forestier | Fontenay aux roses
Maxime Le Forestier | Impasse des oiseaux
Maxime Le Forestier | J'ai eu trente ans
Maxime Le Forestier | Je ne sais rien faire
Maxime Le Forestier | La chanson du jongleur
Maxime Le Forestier | La maîtresse d'école
Maxime le Forestier | La rouile
Maxime Le Forestier | La visite
Maxime le Forestier | Le p'tit air
Maxime Le Forestier | Les coups
Maxime Le Forestier | Les lettres
Maxime le Forestier | L'homme au bouquet de fleurs
Maxime le Forestier | Marie, Pierre et Charlemagne
Maxime Le Forestier | Mon frère
Maxime le Forestier | Mourir pour une nuit
Maxime le Forestier | Né quelque part
Maxime Le Forestier | Parachutiste
Maxime le Forestier | Passer ma route
Maxime Le Forestier | Quand les cons sont braves
Maxime le Forestier | Restons amants
Maxime le Forestier | San Francisco
Maximilien Philippe | C'est si bon
MC Solaar | Caroline
MC Solaar | Victime de la mode
Mecano | Dis-moi lune d'argent
Melissa M | Elle
Mélissa Nkonda | J'ai fait tout ça pour vous
Mélissa Nkonda | Nouveaux horizons
Melody Gardot | Les étoiles
Mercedes Band | De la Main Gauche
Mercedes Band | Flash tes lumières
Michael Bublé | White Christmas
Michal | Viens jusqu'à moi
Michel Berger | Ecoute la musique
Michel Berger | Je reviens de loin
Michel Berger | La groupie du pianiste
Michel Berger | Le paradis blanc
Michel Berger | Lumière du jour
Michel Berger | Mon piano danse
Michel Berger | Pour me comprendre
Michel Berger | Quelques mots d'amour
Michel Berger | Seras tu là
Michel Berger | Un dimanche au bord de l'eau
Michel Delpech | 30 manires de quitter une fille
Michel Delpech | 62, nos quinze ans
Michel Delpech | Ce lundi là
Michel Delpech | Ces mots là
Michel Delpech | C'est ta chanson
Michel Delpech | Chez Laurette
Michel Delpech | Comme vous
Michel Delpech | Être deux
Michel Delpech | Fais un bébé
Michel Delpech | Fan de toi
Michel Delpech | Je passe à la télé
Michel Delpech | La vie la vie
Michel Delpech | Loin d'ici
Michel Delpech | Pour un flirt
Michel Delpech | Que Marianne était jolie
Michel Delpech | Rimbaud chanterait
Michel Delpech | Tu me fais planer
Michel Delpech | Un coup de pied dans la montagne
Michel Delpech | Wight is Wight
Michel Delpech | Quand j'étais chanteur
Michel Fugain | Attention mesdames et messieurs
Michel Fugain | Bravo monsieur le monde
Michel Fugain | Chante comme si tu devais mourir demain
Michel Fugain | Comme un soleil
Michel Fugain | Dans 100 ans peut-être
Michel Fugain | Encore
Michel Fugain | Fais comme l'oiseau
Michel Fugain | Forteresse
Michel Fugain | Je n'aurai pas le temps
Michel Fugain | Jusqu'à demain peut-être
Michel Fugain | La bête immonde
Michel Fugain | La corde au cou
Michel Fugain | La fête
Michel Fugain | Le chiffon rouge
Michel Fugain | Le printemps
Michel Fugain | Les Acadiens
Michel Fugain | Les filles d'avant
Michel Fugain | Les gentils, les méchants
Michel Fugain | Les ronciers
Michel Fugain | Les Sud-Américaines
Michel Fugain | On laisse tous un jour
Michel Fugain | Tout va changé
Michel Fugain | Une belle histoire
Michel Fugain | Viva la Vida
Michel Jonasz | Changez tout
Michel Jonasz | Je voulais te dire que je t'attends
Michel Jonasz | Joueur de Blues
Michel Jonasz | J'veux pas qu'tu t'en ailles
Michel Jonasz | La boite de Jazz
Michel Jonasz | La chanson des vieux amants
Michel Jonasz | La FM qui s'est spécialisée Funky
Michel Jonasz | Les feuilles mortes
Michel Jonasz | Les vacances au bord de la mer
Michel Jonasz | Lucille
Michel Jonasz | Super Nana
Michel Leeb | J'aime Paris au mois de Mai
Michel Leeb | Sous le ciel de Paris
Michel Legrand | Les moulins de mon coeur
Michel Legrand | Quand ça balance
Michel Legrand | Quand on s'aime
Michel Polnaref | Histoire de coeur
Michel Polnareff | Ca n'arrive qu'aux autres
Michel Polnareff | Comme Juliette et Roméo
Michel Polnareff | Dans la maison vide
Michel Polnareff | Gloria
Michel Polnareff | Goodbye Marylou
Michel Polnareff | Holidays
Michel Polnareff | J'ai tellement de choses à dire
Michel Polnareff | Jour après jour
Michel Polnareff | Lettre à France
Michel Polnareff | Love me, please love me
Michel Polnareff | Mes regrets
Michel Polnareff | On ira tous au Paradis
Michel Polnareff | Tous les bateaux, tous les oiseaux
Michel Polnareff | Une simple mélodie
Michel Pruvot | De gauche à droite
Michel Sardou | 1965
Michel Sardou | 55 jours 55 nuits
Michel Sardou | Afrique Adieu
Michel Sardou | Allons danser
Michel Sardou | Attention les enfants danger
Michel Sardou | Beethoven
Michel Sardou | Bonsoir Clara
Michel Sardou | Ce quI s'offre
Michel Sardou | C'est ma vie
Michel Sardou | C'est pas du Brahms
Michel Sardou | C'est toujours la même eau qui coule
Michel Sardou | C'est une gamine charmante
Michel Sardou | Cette chanson là
Michel Sardou | Chacun sa vérité
Michel Sardou | Chanter quand même
Michel Sardou | Chanteur de Jazz
Michel Sardou | Comme d'habitude
Michel Sardou | Dans la même année
Michel Sardou | Déborah
Michel Sardou | Dix ans plus tôt
Michel Sardou | Elle pleure son homme
Michel Sardou | En Chantant
Michel Sardou | Et mourir de plaisir
Michel Sardou | Et puis après
Michel Sardou | Etre et ne pas avoir été
Michel Sardou | Etre une femme
Michel Sardou | Français
Michel Sardou | Huit jour à El Paso
Michel Sardou | Il était là
Michel Sardou | J'accuse
Michel Sardou | J'ai 2000 ans
Michel Sardou | Je me souviens d'un adieu
Michel Sardou | Je M'en Souviendrai Sûrement
Michel Sardou | Je n'aurai pas le temps
Michel Sardou | Je ne suis pas mort, je dors
Michel Sardou | Je suis pour
Michel Sardou | Je t'aime, Je t'aime
Michel Sardou | Je vais t'Aimer
Michel Sardou | Je veux l'épouser pour un soir
Michel Sardou | Je viens du sud
Michel Sardou | Je vole
Michel Sardou | Je vous ai bien eus
Michel Sardou | J'habite en France
Michel Sardou | J'y crois
Michel Sardou | K7
Michel Sardou | La chanteuse de rock
Michel Sardou | La défensive
Michel Sardou | La fille au yeux clairs
Michel Sardou | La java de Broadway
Michel Sardou | La Maladie D'amour
Michel Sardou | La rivière de notre enfance
Michel Sardou | La vie, la mort etc
Michel Sardou | La vieille
Michel Sardou | L'acteur
Michel Sardou | L'aigle Noir
Michel Sardou | Laisse toi prendre
Michel Sardou | L'an mil
Michel Sardou | L'Anatole
Michel Sardou | L'Autre Femme
Michel Sardou | Le Bac G
Michel Sardou | Le blues black brother
Michel Sardou | Le bon temps c'est quand
Michel Sardou | Le chanteur des rues
Michel Sardou | Le cinéma d'Audiard
Michel Sardou | Le curé
Michel Sardou | Le France
Michel Sardou | Le livre du temps
Michel Sardou | Le mauvais homme
Michel Sardou | Le Monde Où Tu Vas
Michel Sardou | Le privilège
Michel Sardou | Le rire du sergent
Michel Sardou | Le roi Barbare
Michel Sardou | Le successeur
Michel Sardou | Le surveillant général
Michel Sardou | Le temps des colonies
Michel Sardou | Le vétéran
Michel Sardou | Les années 30
Michel Sardou | Les bals populaires
Michel Sardou | Les bateaux du courrier
Michel Sardou | Les deux écoles
Michel Sardou | Les hommes du vent
Michel Sardou | Les lacs du connemara
Michel Sardou | Les mamans qui s'en vont
Michel Sardou | Les Ricains
Michel Sardou | Les routes de Rome
Michel Sardou | Les vieux mariés
Michel Sardou | Les Villes De Solitude
Michel Sardou | Loin
Michel Sardou | Musica
Michel Sardou | Nuit de satin
Michel Sardou | Parce que c'était moi,parce que c'était lui.
Michel Sardou | Petit
Michel Sardou | Rouge
Michel Sardou | Salut
Michel Sardou | Tu te reconnaitras
Michel Sardou | Un enfant
Michel Sardou | Une corde pour se noyer
Michel Sardou | Une femme, ma fille
Michel Sardou | Victoria
Michel Sardou | Vivant
Michel Sardou | Vladimir Ilitch
Michel Sardou | Voler
Michel Sardou | Zombi Dupont
Michel Stax | Aucun coeur
Michel Stax | Oh Ma Lili
Michèle Torr | Emmène-moi danser ce soir
Michèle Torr | J'aime
Michèle Torr | Je m'appelle Michèle
Michèle Torr | J'en appelle à la tendresse
Michèle Torr | La prière sévillanne
Mickael Miro | L'horloge tourne
Mickael Miro | Ma scandaleuse
Mickaël Miro | Le géant de papier
Mickey 3D | Respire
Mika | Boum boum boum
Mika | Elle me dit
Mika | Je chante
Mike Brant | A corps perdu
Mike Brant | Attendez
Mike Brant | Au pays de ma maison
Mike Brant | C'est comme ça que je t'aime
Mike Brant | C'est ma prière
Mike Brant | C'est une belle fête
Mike Brant | Dis-lui
Mike Brant | Donne un peu de toi
Mike Brant | Elle a gardé ses yeux d'enfants
Mike Brant | Je vis la vie que j'ai choisie
Mike Brant | La fille à aimer
Mike Brant | La musique au fond du coeur
Mike Brant | Laisse moi t'Aimer
Mike Brant | L'amour c'est ça, l'amour c'est toi
Mike Brant | Mais dans la lumière
Mike Brant | On se retrouve par hasard
Mike Brant | Parce que je t'aime plus que moi
Mike Brant | Qui a tort
Mike Brant | Qui pourra te dire
Mike Brant | Qui saura
Mike Brant | Rien qu'une larme
Mike Brant | Sans ami
Mike Brant | Serre les poings et bats-toi
Mike Brant | Toi mon enfant
Mike Brant | Toi, moi, nous
Mike Brant | Toi, mon enfant
Mike Brant | Tout donné, tout repris
Mike Brant | Toutes les couleurs
Mike Brant | Un grand bonheur
Mike Brant | Viens ce soir
Milky Chance | Stolen Dance
Mireille Mathieu | Acropolis Adieu
Mireille Mathieu | C'est si bon
Mireille Mathieu | La dernière valde
Mireille Mathieu | La paloma adieu
Mireille Mathieu | Mille Colombes
Mireille Mathieu | Mon crédo
Mireille Mathieu | On ne vit pas sans se dire Adieu
Miss Dominique | Les moulins de mon coeur
Mistinguett | C'est mon homme
Mistinguett | Mon homme
Mistinguett | Je cherche un millionnaire 
Moby | Slipping away
Mort Shuman | Le lac majeur
Moulin rouge | Complainte de la butte
Mozard l'opéra Rock | Ah vous dirais-je Maman
Mozard l'opéra Rock | Dors mon ange
Mozard l'opéra Rock | L'assasymphonie
Mozard l'opéra Rock | Le trublion
Mozard l'Opéra Rock | Tatoue-moi
Mozard l'opéra Rock | Victime de ma mémoire
Muriel Dacq | Tropique
Mylène Farmer | A rebours
Mylène Farmer | Ainsi sois je
Mylène Farmer | Allan
Mylène Farmer | Desanchantée
Mylène Farmer | Libertine
Mylène Farmer | Love song
Mylène Farmer | Maman a tort
Mylène Farmer | Monkey me
Mylène Farmer | Pourvu qu'elles soient douces
Mylène Farmer | Sans contrefaçon
Mylène Farmer | Sans logique
Mylène Farmer | Un jour ou l'autre
Mylène Farmer et Seal | Les mots
Mylène Farmer et Sting | Stolen car
Myriam Abel | Donne
Najoua Belyzel | Quand revient l'été
Nana Mouskouri | Comme un soleil
Nana Mouskouri | Guantanamera
Nana Mouskouri | Je chante avec toi liberté
Nana Mouskouri | Je reviens chez nous
Nana Mouskouri | L'amour en héritage
Nana Mouskouri | L'enfant au tambour
Nana Mouskouri | Soleil soleil
Nana Mouskouri | Tous les arbres sont en fleur
Nancy Holloway | T'en vas pas comme ça
Natacha Atlas | Mon amie la rose
Natasha St Pier | Jeter des fleurs
Natasha St Pier | Mourir demain
Natasha St Pier | Petit Papa
Natasha St Pier | Tu trouveras
Natasha St Pier | Un ange frappe à ma porte
Natasha St Pier | Vivre d'Amour
Natasha St-Pier | Tous les Acadiens
Natasha St-Pier | Travailler c'est trop dur
Nathalie Cardone | Le temps des fleurs
National | Brabançonne
National | La Marseillaise
National | O Canada
Native | L'air du vent
Native | Tu planes sur moi
Niagara | J'ai vu
Niagara | Je dois m'en aller
Niagara | L'Amour à la plage
Niagara | Pendant que les champs brûlent
Niagara | Quand la ville dort
Niagara | Tchiki Boum
Nicolas Peyrac | Et mon père
Nicolas Peyrac | Je pars
Nicolas Peyrac | So far away from L A
Nicole Rieu | En courant
Nicole Rieu | Et bonjour à toi, l'artiste
Nicole Rieu | Je suis
Nicoletta | Glory Alleluia
Nicoletta | Il est mort le soleil
Nicoletta | La musique
Nicoletta | Ma vie c'est un manège
Nicoletta | Mamy Blue
Nino Ferrer | Le Telephon
Nino Ferrer | Les cornichons
Nino Ferrer | Mirza
Noa Moon | Paradise
Noir Désir | Aux sombres héros de la mer
Noir Désir | Le vent nous portera
Nolwenn Leroy | Aux filles de l'eau
Nolwenn Leroy | Cassé
Nolwenn Leroy | Dans les prisons de Nantes
Nolwenn Leroy | Greensleeves
Nolwenn Leroy | Juste pour me souvenir
Nolwenn Leroy | La jument de Michao
Nolwenn Leroy | Le Bagad de Lann-Bihoué
Nolwenn Leroy | Mon Ange
Nolwenn Leroy | Suite Sudarmoricaine
Nolwenn Leroy | Tri Martolod
Nolwenn Leroy | Une femme cachée
Notre dame de Paris | Belle
Notre dame de Paris | Danse mon Esméralda
Notre dame de Paris | Le temps des cathédrales
Offenbach | Chu un rocker
Offenbach | Mes blues passent pu dans porte
Offenbach | Promenade sur Mars
Oldelaf | La tristitude
Olivia Ruiz | Belle à en crever
Olivia Ruiz | Elle panique
Olivia Ruiz | J'envoie valser
Olivia Ruiz | J'traîne des pieds
Olivia Ruiz | La femme chocolat
Olivia Ruiz | Les crêpes aux champignons
Olivia Ruiz | De toi à moi
Olympe | C'est facile
Olympe | La quête
Olympe | Non je ne regrette rien
Palmashow | Ca m'vénère
Pascal Danel | La plage aux romantiques
Pascal Danel | Les neiges du Kilimandjaro
Pascal Obispo | D'un piano a l'autre
Pascal Obispo | L'important c'est d'Aimer
Pascal Obispo | Lucie
Pascal Obispo | Mourir demain
Pascal Obispo | Mourir demain
Pascal Obispo | Tu vas me manquer
Pascal Sevran | Chanter la vie
Pat'Bol | Les abeilles
Patricia Carli | Arrête, arrête
Patricia Kaas | Avec le temps
Patricia Kaas | D'Allemagne
Patricia Kaas | Elle voulait jouer cabaret
Patricia Kaas | Entrer dans la lumière
Patricia Kaas | Fatiguée d'attendre
Patricia Kaas | If you go away
Patricia Kaas | Je voudrais la connaitre
Patricia Kaas | Kabaret
Patricia Kaas | Kennedy Rose
Patricia Kaas | La foule
Patricia Kaas | Les hommes qui passent
Patricia Kaas | Les mannequins d'osier
Patricia Kaas | Les moulins de mon coeur
Patricia Kaas | Mademoiselle chante le Blues
Patricia Kaas | Mon chercheur d'or
Patricia Kaas | Mon Dieu
Patricia Kaas | Mon mec à moi
Patricia Kaas | Où sont les hommes
Patricia Kaas | Quand Jimmy dit
Patricia Kaas | Regarde les riches
Patricia Kaas | Une femme comme les autres
Patricia Lavila | Paloma Blanca
Patrick Bruel | Adieu
Patrick Bruel | Alors regarde
Patrick Bruel | Casser la voix
Patrick Bruel | Elle m'regardait comme ça
Patrick Bruel | Elle voulait tout
Patrick Bruel | J'te l'dis quand même
Patrick Bruel | J'te mentirais
Patrick Bruel | La complainte de la butte
Patrick Bruel | La Java bleue
Patrick bruel | Lettre au Père Noël hd
Patrick Bruel | Mon Amant de St Jean
Patrick Bruel | Place des Grands Hommes
Patrick Bruel | Qu'est-ce qu'on attend pour être heureux
Patrick Bruel | Qui a le droit
Patrick Bruel | She's gone
Patrick Coutin | J'aime regarder les filles
Patrick Fiori | Dans tes yeux chaque jour
Patrick Fiori | Depuis toi
Patrick Fiori | Goutte d'eau
Patrick Fiori | J'en ai mis du temps
Patrick Fiori | J'espère que tu vas bien
Patrick Fiori | Les parapluies de Cherbourg
Patrick Fiori | Liberta
Patrick Fiori | Manon
Patrick Fiori | Mon pays
Patrick Fiori | Que tu reviennes
Patrick juvet | I love America
Patrick Juvet | Où sont les femmes
Patrick Norman | Elle s'en va
Patrick Norman | Quand on est en amour
Patrick Sébastien | A bâbord
Patrick Sébastien | Aka Aleo
Patrick Sébastien | Alain
Patrick Sébastien | C'est chaud
Patrick Sébastien | Comment ça va
Patrick Sébastien | Joyeux anniversaire
Patrick Sébastien | La fiesta
Patrick Sébastien | Le Gambadou
Patrick Sébastien | Les Sardines
Patrick Sébastien | Pourvu que ça dure
Patrick Sébastien | Une p'tite pipe, Hourra !
Pauline Ester | Il fait chaud
Pauline Ester | Le monde est fou
Pauline Ester | Oui j'l'adore
Pauline Ester | Une fenêtre ouverte
Pep's | Liberta
Peter et Sloane | Besoin de rien, envie de toi
Petula Clark | C'est ma chanson
Petula Clark | Chariot
Petula Clark | Coeur blessé
Petula Clark | Hello Dolly
Petula Clark | Je me sens bien auprès de toi
Petula Clark | La gadoue
Petula Clark | La nuit n'en finit plus
Petula Clark | Marin 
Phil Barney | Tellement je pense à toi
Phil Barney | un coeur qui danse
Phil Barney | Un enfant de toi
Philippe Chatel | Emilie Jolie
Philippe Chatel | J't'aime bien Lili
Philippe Chatel | Ma lycéenne
Philippe Chatel | Mister Hyde
Philippe Clay | Cigarettes, Whisky et petites pépées
Philippe Clay | Le danseur de Charleston
Philippe Lafontaine | Coeur de loup
Philippe Lavil | Avec les filles je ne sais pas
Philippe Lavil | La chica de Cuba
Philippe Swan | Dans ma rue
Pierpoljak | J'sais pas jouer
Pierre Bachelet | C'est pour elle
Pierre Bachelet | Coeur de goéland
Pierre Bachelet | Destinée
Pierre Bachelet | Ecris-moi
Pierre Bachelet | Elle est d'ailleurs
Pierre Bachelet | Elle ne sait faire que ah
Pierre Bachelet | Embrasse-la
Pierre Bachelet | En l'an 2001
Pierre Bachelet | Flo 
Pierre Bachelet | Le no man's land
Pierre Bachelet | Les Corons
Pierre Bachelet | Les lolas
Pierre Bachelet | L'homme en blanc
Pierre Bachelet | Marionnettiste
Pierre Bachelet | Pleure pas Boulou
Pierre Bachelet | Quand l'enfant viendra
Pierre Bachelet | Quitte moi
Pierre Bachelet | Souvenez vous
Pierre Bachelet | Vingt ans
Pierre Bachelet | Vivre
Pierre Grocolas | Lady Lay
Pierre Groscola | Elyse et moi
Pierre Groscolas | Fille du vent et du soleil
Pierre Groscolas | Lady Lay 
Pierre Lalonde | C'est si bon
Pierre Lalonde | Les feuilles mortes
Pierre Perret | Au tord boyaux
Pierre Perret | Blanche
Pierre Perret | C'est au mois d'Août
Pierre Perret | C'est l'printemps
Pierre Perret | Comment c'est la Chine
Pierre Perret | Cuisse de Mouche
Pierre Perret | Dépêche toi mon amour
Pierre Perret | Donnez nous des jardins
Pierre Perret | Estelle
Pierre Perret | Gourrance
Pierre Perret | La Corinne
Pierre Perret | La porte de ta douche
Pierre Perret | La télé en panne
Pierre Perret | Le bonheur c'est toujours pour demain
Pierre Perret | Le cul de Lucette
Pierre Perret | Le Plombier
Pierre Perret | Le temps des puces
Pierre Perret | Le Zizi
Pierre Perret | Les baisers
Pierre Perret | Les jolies colonies de vacances
Pierre Perret | Lily
Pierre Perret | Ma nouvelle adresse
Pierre Perret | Ma p'tite Julia
Pierre Perret | Non, j'irai pas chez ma tante
Pierre Perret | Ouvrez la cage aux oiseaux
Pierre Perret | Pépé la jactance
Pierre Perret | Quoi de plus sympa qu'un oeuf
Pierre Perret | Tonton Cristobal
Pierre Perret | Vaisselle Cassée
Pierre Rapsat | C'est toujours un mystère
Pierre Rapsat | Les rêves sont en nous
Pink Martini | Je ne veux pas travailler
Plastic Bertrand | Ca plane pour moi
Pow Wow | Le chat
Princess Erika | Trop de Bla-Bla
Princess Sarah | A la faveur de l'Automne
Quentin Mosimann | Chercher le garçon
Raft | Yaka Dansé
Raiponce | N'écoute que moi
Raphaël | Adieu Haïti
Raphaël | Caravane
Raphaël | Le vent de l'hiver
Raphaël | Ne partons pas fâchés
Raphaël | Schengen
Raphaël | Somnambule
Raphaël | Sur la route
Ray Ventura | Qu'est-ce qu'on attend pour être heureux
Ray Ventura | Tiens tiens tiens
Ray Ventura | Tout va très bien madame la marquise
Régina & Bruno | Solenzara
Régine | Azzurro
Régine | La grande Zoa
Régine | Les p'tits papiers
Regrets | J'veux pas rentrer chez moi seule
Renan Luce | Appelle quand tu te réveilles
Renan Luce | La fille de la bande
Renan Luce | La lettre
Renan Luce | On est pas à une bêtise prèt
Renan Luce | On n'est pas à une bêtise près
Renaud | Arrêtez la clope
Renaud | Baltique
Renaud | C'est mon dernier bal
Renaud | Chanson pour Pierrot
Renaud | Dans mon H.L.M
Renaud | Dès que le vent soufflera
Renaud | Déserteur
Renaud | Docteur Renaud, Mister Renard
Renaud | Ecoutez-moi les Gavroches
Renaud | En cloque
Renaud | Fatigué
Renaud | Germaine
Renaud | Héloïse
Renaud | It is not because you are
Renaud | J'ai embrassé un flic
Renaud | La ballade Nord-Irlandaise
Renaud | La blanche
Renaud | La mère à Titi
Renaud | La vie est moche et c'est trop court
Renaud | Laisse Béton
Renaud | Le p'tit bal du Samedi soir
Renaud | Les bobos
Renaud | Les mots
Renaud | Manhattan-Kaboul
Renaud | Manu
Renaud | Marchand de cailloux
Renaud | Marche à l'ombre
Renaud | Mistral gagnant
Renaud | Mon Beauf
Renaud | Mon bistrot préféré
Renaud | Morgane de toi
Renaud | Morts les enfants
Renaud | Putain de camion
Renaud | Toujours debout
Renaud | Viens chez moi j'habite chez une copine
Richard Anthony | A présent tu peux t'en aller
Richard Anthony | A toi de choisir
Richard Anthony | Amoureux de ma femme
