1789 les amants de la bastille | Au palais royal
Carole Arnaud | C'est pas facile
Caroline Legrand | J'aurais voulu te dire
Caroline Loeb | C'est la ouate
Cassita | La foule
Catherine Ferry | Bonjour bonjour
Catherine Lara | Avec le temps
Catherine Lara | La rockeuse de diamants
Catherine Lara | Nuit Magique
Cauet | Zidane y va marquer
Céline Dion | At seventeen
Céline Dion | C'est pour toi
Céline Dion | D'abord c'est quoi l'amour
Céline Dion | D'amour ou d'amitié
Céline Dion | Elle
Céline Dion | Je n'ai pas besoin d'amour
Céline Dion | Je ne vous oublie pas
Céline Dion | J'irai où tu iras
Céline Dion | La mer et l'enfant
Céline Dion | Les oiseaux du bonheur
Céline Dion | Ne me quitte pas
Céline Dion | Parler à mon père
Céline Dion | Petit Papa Noël
Céline Dion | Sous le vent
Céline Dion | Tous les secrets
Céline Dion | Trois heures vingt
Céline Dion | Un amour pour moi
Céline Dion | Un peu plus haut un peu plus loin
Céline Dion | Une chance qu'on s'a
Céline Dion | Y'a pas de mots
C'est presque rien | Francis Cabrel
Chagrin d'Amour | Chacun fait (c'qui lui plaît)
Chantal Chamberland | La mer
Chantal Goya | Un lapin
Chantal Goya | Voulez-vous danser Grand-mère
Chanteurs Sans Frontières | Ethiopie
Charles Aznavour | A ma fille
Charles Aznavour | Aime moi
Charles Aznavour | Aimer
Charles Aznavour | Avant la guerre
Charles Aznavour | Ave Maria
Charles Aznavour | Avec un brin de nostalgie
Charles Aznavour | Bon anniversaire
Charles Aznavour | Camarade
Charles Aznavour | C'est merveilleux l'amour
Charles Aznavour | Comme ils disent
Charles Aznavour | Dans tes bras
Charles Aznavour | De t'avoir Aimée
Charles Aznavour | Désormais
Charles Aznavour | Emmenez-moi
Charles Aznavour | Et moi dans mon coin
Charles Aznavour | Et pourtant
Charles Aznavour | Etre
Charles Aznavour | For me Formidable
Charles Aznavour | Hier encore
Charles Aznavour | Il faut savoir
Charles Aznavour | Inoubliable
Charles Aznavour | J'ai connu
Charles Aznavour | J'ai perdu la tête
Charles Aznavour | J'ai vu Paris
Charles Aznavour | J'aime Paris au mois de mai
Charles Aznavour | Je fantasme
Charles Aznavour | Je me raccroche à toi
Charles Aznavour | Je m'voyais déjà
Charles Aznavour | Je ne savais pas
Charles Aznavour | Je suis un mort vivant
Charles Aznavour | Je t'aime A.I.M.E
Charles Aznavour | Je te réchaufferai
Charles Aznavour | La Bohème
Charles Aznavour | La Mamma
Charles Aznavour | La Marguerite
Charles Aznavour | L'âge d'aimer
Charles Aznavour | L'Amour c'est comme un jour
Charles Aznavour | L'amour fait mal
Charles Aznavour | Le droit des femmes
Charles Aznavour | Le souffle de ma vie
Charles Aznavour | Le temps
Charles Aznavour | Le temps des loups
Charles Aznavour | Les bons moments
Charles Aznavour | Les comédiens
Charles Aznavour | Les deux guitares
Charles Aznavour | Les filles d'aujourd'hui
Charles Aznavour | Les jours heureux
Charles Aznavour | Les plaisirs démodés
Charles Aznavour | Lisboa
Charles Aznavour | Lorsque mon coeur sera
Charles Aznavour | Ma main a besoin de ta main
Charles Aznavour | Ma Mie
Charles Aznavour | Merci Madame la vie
Charles Aznavour | Mes emmerdes
Charles Aznavour | Mon ami Mon judas
Charles Aznavour | Mon émouvant Amour
Charles Aznavour | Mourir d'Aimer
Charles Aznavour | Non je n'ai rien oublié
Charles Aznavour | Nous irons à Vérone
Charles Aznavour | Nous nous reverrons un jour ou l'autre
Charles Aznavour | On m'a donné
Charles Aznavour | Paris au mois d'août
Charles Aznavour | Plus bleu que tes yeux
Charles Aznavour | Pour faire une Jam
Charles Aznavour | Que c'est triste Venise
Charles Aznavour | Qui
Charles Aznavour | Reste
Charles Aznavour | Sa jeunesse
Charles Aznavour | Sur ma vie
Charles Aznavour | Toi et moi
Charles Aznavour | Trousse chemise
Charles Aznavour | Tu t'laisses aller
Charles Aznavour | Une vie d'amour
Charles Aznavour | Vous et tu
Charles Dumont | Dis mon amour
Charles Dumont | Les amants
Charles Dumont | Une chanson
Charles Trenet | Boum
Charles Trenet | Dans les pharmacies
Charles Trenet | Débit de l'eau débit de lait
Charles Trenet | Douce France
Charles Trenet | Il pleut dans ma chambre
Charles Trenet | Je chante
Charles Trenet | La mer
Charles Trenet | La romance de Paris
Charles Trenet | L'âme des poètes
Charles Trenet | Le jardin extraordinaire
Charles Trenet | Le soleil et la lune
Charles Trenet | Mes jeunes années
Charles Trenet | Moi j'aime le Music-Hall
Charles Trenet | Que reste-t-il de nos Amours
Charles Trenet | Y'a d'la joie
Charlotte Gardin-Goyer | J'attends
Charlotte Julian | Fleur de Province
Charly et Lulu | Les Marseillais
Chico & The Gypsies | Comme toi
Chico & The Gypsies | Couleur café
Chico & The Gypsies | Plus près des étoiles
Chico & The Gypsies | Vous les femmes
Chimene Badi | je vais te chercher
Chimène Badi | Entre nous
Chimène Badi | Je vais te chercher
Chimène BADI | Je viens du sud
Chimène Badi | L'accordéoniste
Chimène Badi | Laisse les dire
Chimène Badi | Le Blues
Chimène Badi | Le jour se lève
Chimène Badi | Le miroir
Chimène Badi | Le mot Fin
Chimène Badi | Ma liberté
Chimène Badi | Ma vie
Chimène Badi | Mes silences
Chimène Badi | Padam padam
Chimène Badi | Point final
Chimène Badi | Pourquoi le monde a peur
Chimène Badi | Retomber Amoureux
Chimène Badi | Si j'avais su t'aimer
Chimène Badi | Tellement beau
Chimène Badi | Un Père
Chimène Badi | Un père
Chimène Badi | Viens, viens
Chimène Bady | On a les amours qu'on mérite
Chimène Bady | Une femme à qui l'on ment
Chocolat's | La chatte à la voisine
Christian Adam | Il a suffit d'une chanson
Christian Adam | Si tu savais combien je t'Aime
Christian Delagrange | Le monde est meilleur
Christian Delagrange | Reviens, mon Amour reviens
Christian Delagrange | Rosetta
Christian Vidal | Angélique
Christine And The Queens | Aimer est plus fort que d'être aimé
Christmas Carol | Douce nuit sainte nuit
Christmas Carol | Il est né le divin enfant
Christmas Carol | Mon beau sapin
Christophe | Aline
Christophe | Les marionnettes
Christophe | Les mots bleus
Christophe | Les paradis perdus
Christophe | Oh!, mon amour
Christophe | Petite fille du soleil
Christophe | Senorita
Christophe | Succès fou
Christophe Mae | Belle demoiselle
Christophe Mae | Ca fait mal
Christophe Mae | C'est ma terre
Christophe Mae | C'est ma terre
Christophe Mae | J'ai laissé
Christophe Mae | La rumeur
Christophe Mae | Ma vie est une larme
Christophe Mae | Mais il est où le bonheur
Christophe Mae | Maman
Christophe Mae | Manon
Christophe Mae | Mon paradis
Christophe Mae | Mon père spirituel
Christophe Mae | On s'attache
Christophe Mae | On trace la route
Christophe Mae | Spleen
Christophe Mae | Va voir ailleurs
Christophe Maé | Il est où le bonheur
Christophe Willem | Berlin
Christophe Willem | Chambre avec vue
Christophe Willem | Des nues
Christophe Willem | Double Je
Christophe Willem | Entre nous et le sol
Christophe Willem | Jacques a dit
Christophe Willem | Jacques a dit
Christophe Willem | L'amour me gagne
Christophe Willem | Pourquoi j'ai mal
Claire Pérot | Cabaret
Claude Barzotti | Aime moi
Claude Barzotti | Aime-moi
Claude Barzotti | Il vecchietto
Claude Barzotti | Je ne t'écrirai plus
Claude Barzotti | Je t'apprendrai l'amour
Claude Barzotti | Le pauvre vieux
Claude Barzotti | Le Rital
Claude Barzotti | Madame
Claude Barzotti | Papa
Claude Barzotti | Prends bien soin d'elle
Claude Dubois | Si Dieu existe
Claude Francois | A la campagne
Claude Francois | Chut, plus un mot
Claude Francois | Drame entre deux amours
Claude Francois | Jacques a dit
Claude Francois | Le martien
Claude Francois | Mais c'est différent déjà
Claude Francois | Mandy
Claude Francois | Pardon
Claude Francois | Sacrée chanson
Claude Francois | Sur ton visage un sourire
Claude Francois | Un jardin dans mon coeur
Claude Francois | Voleurs Bohémiens
Claude François | 17 ans
Claude François | Alexandrie Alexandra
Claude François | Alors salut
Claude François | Bélinda
Claude François | Belles, belles, belles
Claude François | Cette Année-là
Claude François | Comme d'habitude
Claude François | Dix sept ans
Claude François | Eloïse
Claude François | Et je t'Aime tellement
Claude François | Il fait beau, il fait bon
Claude François | J'attendrai
Claude François | Je croyais
Claude François | Je te demande pardon
Claude François | Je vais à Rio
Claude François | Je viens dîner ce soir
Claude François | J'y pense et puis j'oublie
Claude François | La ferme du bonheur
Claude François | Laisse une chance à notre amour
Claude François | Le jouet extraordinaire
Claude François | Le Lundi au Soleil
Claude François | Le mal aimé
Claude François | Le téléphone pleure
Claude François | Le vagabond
Claude François | Même si tu revenais
Claude François | Pauvre petite fille riche
Claude François | Pourquoi pleurer
Claude François | Reste
Claude François | Sale bonhomme (Nasty Dan)
Claude François | Sha la la
Claude François | Si douce à mon souvenir
Claude François | Si j'avais un marteau
Claude François | Toi et le soleil
Claude François | Une petite larme m'a trahi
Claude François | Y'a le printemps qui chante
Claude Michel | Une histoire d'amour
Claude Michel Schönberg | Le premier pas
Claude Nougaro | Armstrong
Claude Nougaro | Bidonville
Claude Nougaro | Cécile, ma fille
Claude Nougaro | Dansez sur moi
Claude Nougaro | Il faut tourner la page
Claude Nougaro | Je suis sous
Claude Nougaro | Lady Liberty
Claude Nougaro | Le chat
Claude Nougaro | Le cinéma
Claude Nougaro | Le coq et la pendule
Claude Nougaro | Le gardien de phare
Claude Nougaro | Le jazz et la java
Claude Nougaro | Les mains d'une femme dans la farine
Claude Nougaro | L'île de Ré
Claude Nougaro | L'irlandaise
Claude Nougaro | Los Angeles Eldorado
Claude Nougaro | Nougayork
Claude Nougaro | Toulouse
Claude Nougaro | Tu verras
Claude Nougaro | Un été
Claude Nougaro | Une petite fille
Claude Nougaro | Vie violence
Coeur de pirate | Adieu
Coeur de Pirate | Comme des Enfants
Coeur de pirate | Crier tout bas
Coeur de pirate | Ensemble
Coeur de Pirate | Fondu au noir
Coeur de pirate | Golden Baby
Coeur de pirate | Je suis venu te dire que je m'en vais
Coeur de Pirate | Mistral Gagnant
Coeur de pirate | Oublie moi
Collectif Métissé | Ça nous rend fous
Collectif Métissé | Ces soirées-là
Collectif Métissé | C'est la vie
Collectif Métissé | Destination Rio
Collectif Métissé | laisse tomber tes problèmes
Collectif Métissé | Les démons de minuit
Collectif Méttisé | Femme libérée
Colonel Reyel | Aurelie
Comptine | A la claire fontaine
Comptine | Ah vous dirais-je Maman
Comptine | Ainsi font, font, font
Comptine | Au clair de la lune
Comptine | Auprès de ma blonde
Comptine | Chevaliers de la table ronde
Comptine | Frère Jacques
Comptine | Gentil coquelicot
Comptine | Il était une bergère
Comptine | Le bon roi Dagobert
